Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,678.0,0,0.0,4.35,1.07
2,4627.0,0,0.0,4.25,1.06
3,3075.0,0,0.0,4.17,1.044
4,3824.0,0,0.0,4.13,1.035
5,4867.0,0,0.0,4.09,1.0245
6,3208.0,0,0.0,4.05,1.0154999999999998
7,4182.0,0,0.0,4.025,1.009
8,3688.0,0,0.0,4.015,1.005
9,4385.0,0,0.0,4.003333333333333,1.0033333333333332
10,4547.0,0,0.0,4.0,1.0
11,4593.0,0,0.0,4.0,1.0
12,4549.0,0,0.0,4.0,1.0
13,4701.0,0,0.0,4.0,1.0
14,4358.0,0,0.0,4.0,1.0
15,1230.0,0,0.0,4.0,1.0
16,1466.0,0,0.0,4.0,1.0
17,4083.0,0,0.0,3.995,1.0
18,4831.0,0,0.0,3.99,1.0
19,5070.0,0,0.0,3.99,1.0
20,4687.0,0,0.0,3.99,1.0
21,4765.0,0,0.0,3.99,1.0
22,4680.0,0,0.0,3.99,1.0
23,4674.0,0,0.0,3.99,1.0
24,4717.0,0,0.0,3.99,1.0
25,3527.0,0,0.0,3.9850000000000003,1.0
26,3229.0,0,0.0,3.983333333333333,1.0
27,4406.0,0,0.0,3.98,1.0
28,3084.0,0,0.0,3.98,1.0
29,4777.0,0,0.0,3.98,1.0
30,4977.0,0,0.0,3.98,1.0
31,4616.0,0,0.0,3.98,1.0
32,5090.0,0,0.0,3.98,1.0
33,4480.0,0,0.0,3.98,1.0
34,4927.0,0,0.0,3.98,1.0
35,4653.0,0,0.0,3.98,1.0
36,4864.0,0,0.0,3.98,1.0
37,3780.0,0,0.0,3.97,1.0
38,4941.0,0,0.0,3.97,1.0
39,4769.0,0,0.0,3.97,1.0
40,4454.0,0,0.0,3.973333333333333,0.9986666666666667
41,5050.0,0,0.0,3.98,0.996
42,4205.0,0,0.0,3.9850000000000003,0.996
43,4126.0,0,0.0,3.9933333333333336,0.996
44,4817.0,0,0.0,4.0,0.996
45,2546.0,0,0.0,4.0,1.0
46,3756.0,0,0.0,4.0,1.0
47,4363.0,0,0.0,4.0,1.0
48,4758.0,0,0.0,4.0,1.0
49,4517.0,0,0.0,4.0,1.0
50,5021.0,0,0.0,4.0,1.0
51,4861.0,0,0.0,3.99,1.0
52,2755.0,0,0.0,3.99,1.0
53,3572.0,0,0.0,3.99,1.0
54,5019.0,0,0.0,3.99,1.0
55,4771.0,0,0.0,3.99,1.0
56,4870.0,0,0.0,3.99,1.0
57,4337.0,0,0.0,3.99,1.0
58,4249.0,0,0.0,3.99,1.0
59,2314.0,0,0.0,3.99,1.0
60,4495.0,0,0.0,3.98,1.0
61,3624.0,0,0.0,3.98,1.0
62,4627.0,0,0.0,3.98,1.0
63,3075.0,0,0.0,3.98,1.0
64,3824.0,0,0.0,3.98,1.0
65,4867.0,0,0.0,3.98,1.0
66,3208.0,0,0.0,3.98,1.0
67,4182.0,0,0.0,3.98,1.0
68,3688.0,0,0.0,3.98,1.0
69,4385.0,0,0.0,3.98,1.0
70,4547.0,0,0.0,3.98,1.0
71,4593.0,0,0.0,3.97,1.0
72,4549.0,0,0.0,3.97,1.0
73,4701.0,0,0.0,3.97,1.0
74,1230.0,0,0.0,3.9766666666666666,0.996
75,1466.0,0,0.0,3.9850000000000003,0.996
76,4083.0,0,0.0,3.9933333333333336,0.996
77,4831.0,0,0.0,4.0,0.998
78,5070.0,0,0.0,4.0,1.0
79,4687.0,0,0.0,4.0,1.0
80,4765.0,0,0.0,4.0,1.0
81,4680.0,0,0.0,4.0,1.0
82,4674.0,0,0.0,4.0,1.0
83,4717.0,0,0.0,4.0,1.0
84,3527.0,0,0.0,3.995,1.0
85,3229.0,0,0.0,3.99,1.0
86,4406.0,0,0.0,3.99,1.0
87,3084.0,0,0.0,3.99,1.0
88,4777.0,0,0.0,3.99,1.0
89,4977.0,0,0.0,3.99,1.0
90,4616.0,0,0.0,3.99,1.0
