Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,890.0,0,0.0,4.36,1.074
2,4616.0,1,0.0,4.26,1.0585
3,5090.0,0,0.0,4.18,1.043
4,4480.0,0,0.0,4.125,1.032
5,4927.0,0,0.0,4.08,1.02
6,4653.0,0,0.0,4.055,1.014
7,4864.0,0,0.0,4.035,1.0095
8,3780.0,0,0.0,4.015,1.005
9,4941.0,0,0.0,4.005,1.003
10,4769.0,0,0.0,4.01,1.003
11,4454.0,0,0.0,4.005,1.003
12,5050.0,0,0.0,4.0,1.003
13,4205.0,0,0.0,3.995,1.003
14,4126.0,0,0.0,3.99,1.001
15,4817.0,0,0.0,3.99,0.999
16,2546.0,0,0.0,3.995,0.999
17,3756.0,0,0.0,4.0,0.999
18,4363.0,0,0.0,4.0,0.999
19,4758.0,0,0.0,4.0,0.999
20,4517.0,0,0.0,4.005,0.999
21,5021.0,0,0.0,4.01,0.999
22,4861.0,0,0.0,4.01,1.003
23,2755.0,0,0.0,4.0,1.003
24,3572.0,0,0.0,3.9966666666666666,1.003
25,5019.0,0,0.0,3.99,1.001
26,4771.0,0,0.0,3.99,0.999
27,4870.0,0,0.0,3.99,0.999
28,4337.0,0,0.0,4.0,0.999
29,4249.0,0,0.0,4.0,0.999
30,2314.0,0,0.0,4.0,0.999
31,4495.0,0,0.0,4.01,0.999
32,3624.0,0,0.0,4.01,0.999
33,4627.0,0,0.0,4.01,1.003
34,3075.0,0,0.0,4.005,1.003
35,3824.0,0,0.0,4.0,1.003
36,4867.0,0,0.0,3.99,1.003
37,3208.0,0,0.0,3.99,1.0003333333333333
38,4182.0,0,0.0,3.99,0.999
39,3688.0,0,0.0,4.0,0.999
40,4385.0,0,0.0,4.0,0.999
41,4547.0,0,0.0,4.0,0.999
42,4593.0,0,0.0,4.0,0.999
43,4549.0,0,0.0,4.01,0.999
44,4701.0,0,0.0,4.01,1.001
45,4358.0,0,0.0,4.01,1.003
46,1230.0,0,0.0,4.0,1.003
47,1466.0,0,0.0,3.9966666666666666,1.003
48,4083.0,0,0.0,3.99,1.001
49,4831.0,0,0.0,3.99,0.999
50,5070.0,0,0.0,3.995,0.999
51,4687.0,0,0.0,4.0,0.999
52,4765.0,0,0.0,4.0,0.999
53,4680.0,0,0.0,4.0,0.999
54,4674.0,0,0.0,4.0,0.999
55,4717.0,0,0.0,4.01,0.999
56,3527.0,0,0.0,4.01,0.999
57,3229.0,0,0.0,4.01,1.001
58,4406.0,0,0.0,4.005,1.003
59,3084.0,0,0.0,4.0,1.003
60,4777.0,0,0.0,3.9933333333333336,1.003
61,4977.0,0,0.0,3.99,0.999
62,4616.0,0,0.0,3.99,0.999
63,5090.0,0,0.0,4.0,0.999
64,4480.0,0,0.0,4.0,0.999
65,4927.0,0,0.0,4.0,0.999
66,4653.0,0,0.0,4.005,0.999
67,4864.0,0,0.0,4.01,0.999
68,3780.0,0,0.0,4.01,1.0003333333333333
69,4941.0,0,0.0,4.005,1.003
70,4769.0,0,0.0,4.0,1.003
71,4454.0,0,0.0,3.995,1.003
72,5050.0,0,0.0,3.99,0.999
73,4205.0,0,0.0,3.99,0.999
74,4126.0,0,0.0,4.0,0.999
75,4817.0,0,0.0,4.0,0.999
76,2546.0,0,0.0,4.0,0.999
77,3756.0,0,0.0,4.0,0.999
78,4363.0,0,0.0,4.01,0.999
79,4758.0,0,0.0,4.01,0.999
80,4517.0,0,0.0,4.005,1.003
81,5021.0,0,0.0,4.0,1.003
82,4861.0,0,0.0,4.0,1.003
83,2755.0,0,0.0,3.99,1.0016666666666667
84,3572.0,0,0.0,3.99,0.999
85,5019.0,0,0.0,3.995,0.999
86,4771.0,0,0.0,4.0,0.999
87,4870.0,0,0.0,4.0,0.999
88,4337.0,0,0.0,4.0,0.999
89,4249.0,0,0.0,4.005,0.999
90,2314.0,0,0.0,4.01,0.999
91,4495.0,0,0.0,4.01,0.999
