Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,815.0,0,0.0,4.31,1.066
2,4680.0,1,0.0,4.225,1.0514999999999999
3,4674.0,0,0.0,4.135,1.0354999999999999
4,4717.0,0,0.0,4.09,1.026
5,3527.0,0,0.0,4.07,1.021
6,3229.0,0,0.0,4.045,1.0145
7,4406.0,0,0.0,4.025,1.008
8,3084.0,0,0.0,4.01,1.004
9,4777.0,0,0.0,4.005,1.004
10,4977.0,0,0.0,4.0,1.0
11,4616.0,0,0.0,4.0,1.0
12,5090.0,0,0.0,4.0,1.0
13,4480.0,0,0.0,4.0,1.0
14,4927.0,0,0.0,4.0,1.0
15,4653.0,0,0.0,4.0,1.0
16,4864.0,0,0.0,4.0,1.0
17,3780.0,0,0.0,4.0,1.0
18,4941.0,0,0.0,4.0,1.0
19,3387.0,1,0.0,4.0,1.0
20,3539.0,0,0.0,4.0,1.0
21,3268.0,0,0.0,4.0,1.0
22,3682.0,0,0.0,4.0,1.0
23,3622.0,0,0.0,4.0,1.0
24,3720.0,0,0.0,4.0,1.0
25,2402.0,0,0.0,4.0,1.0
26,3125.0,0,0.0,4.0,1.0
27,3004.0,0,0.0,4.0,1.0
28,3153.0,0,0.0,4.0,1.0
29,3447.0,0,0.0,4.0,1.0
30,3191.0,0,0.0,4.0,1.0
31,3456.0,0,0.0,4.0,1.0
32,2610.0,0,0.0,4.0,1.0
33,2952.0,0,0.0,4.0,1.0
34,3255.0,0,0.0,4.0,1.0
35,3102.0,0,0.0,4.0,1.0
36,3328.0,0,0.0,4.0,1.0
37,3422.0,0,0.0,4.0,1.0
38,3595.0,0,0.0,4.0,1.0
39,2284.0,0,0.0,4.0,1.0
40,3176.0,0,0.0,4.0,1.0
41,3057.0,0,0.0,4.0,1.0
42,3595.0,0,0.0,4.0,1.0
43,2302.0,0,0.0,4.0,1.0
44,2922.0,0,0.0,4.0,1.0
45,3292.0,0,0.0,4.0,1.0
46,3176.0,0,0.0,4.0,1.0
47,3127.0,0,0.0,4.0,1.0
48,3202.0,0,0.0,4.0,1.0
49,3191.0,0,0.0,4.0,1.0
50,3360.0,0,0.0,4.0,1.0
51,3311.0,0,0.0,4.0,1.0
52,3433.0,0,0.0,4.0,1.0
53,3420.0,0,0.0,4.0,1.0
54,3433.0,0,0.0,4.0,1.0
55,1012.0,0,0.0,4.0,1.0
56,1270.0,0,0.0,4.0,1.0
57,4083.0,1,0.0,4.0,1.0
58,3289.0,1,0.0,4.0,1.0
59,3348.0,0,0.0,4.0,1.0
60,3176.0,0,0.0,4.0,1.0
61,3264.0,0,0.0,4.0,1.0
62,3309.0,0,0.0,4.0,1.0
63,3680.0,0,0.0,4.0,1.0
64,3906.0,0,0.0,4.0,1.0
65,2152.0,0,0.0,4.0,1.0
66,2762.0,0,0.0,4.0,1.0
67,3235.0,0,0.0,4.0,1.0
68,2371.0,0,0.0,4.0,1.0
69,3013.0,0,0.0,4.0,1.0
70,3142.0,0,0.0,4.0,1.0
71,3057.0,0,0.0,4.0,1.0
72,3090.0,0,0.0,4.0,1.0
73,3097.0,0,0.0,4.0,1.0
74,3137.0,0,0.0,4.0,1.0
75,3128.0,0,0.0,4.0,1.0
76,3150.0,0,0.0,4.0,1.0
77,3137.0,0,0.0,4.0,1.0
78,3692.0,0,0.0,4.0,1.0
79,3387.0,0,0.0,4.0,1.0
80,3539.0,0,0.0,4.0,1.0
81,3268.0,0,0.0,4.0,1.0
82,3682.0,0,0.0,4.0,1.0
83,3622.0,0,0.0,4.0,1.0
84,3720.0,0,0.0,4.0,1.0
85,2402.0,0,0.0,4.0,1.0
86,3125.0,0,0.0,4.0,1.0
87,3004.0,0,0.0,4.0,1.0
88,3153.0,0,0.0,4.0,1.0
89,3447.0,0,0.0,4.0,1.0
90,3191.0,0,0.0,4.0,1.0
