Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,734.0,0,0.0,4.67,1.0
2,4864.0,0,0.0,4.54,1.089
3,3780.0,0,0.0,4.41,1.08
4,4941.0,0,0.0,4.305,1.0659999999999998
5,4769.0,0,0.0,4.21,1.05
6,4454.0,0,0.0,4.15,1.0375
7,5050.0,0,0.0,4.09,1.0225
8,4205.0,0,0.0,4.05,1.0135
9,4126.0,0,0.0,4.025,1.009
10,4817.0,0,0.0,4.015,1.005
11,2546.0,0,0.0,4.005,1.003
12,3756.0,0,0.0,4.0,1.003
13,4363.0,0,0.0,3.995,1.003
14,4758.0,0,0.0,3.99,1.001
15,4517.0,0,0.0,3.99,0.999
16,5021.0,0,0.0,4.0,0.999
17,4861.0,0,0.3865,4.085,0.9995
18,2610.0,0,0.5994999999999999,4.325,1.0539999999999998
19,1235.0,2,0.018999999999999906,4.23,1.056
20,1640.0,0,0.0,4.16,1.041
21,1638.0,0,0.0,4.095000000000001,1.0265
22,1825.0,0,0.0,4.055,1.015
23,1807.0,0,0.0,4.035,1.0105
24,1947.0,0,0.0,4.02,1.008
25,1182.0,0,0.0,4.006666666666667,1.004
26,1631.0,0,0.0,4.0,1.002
27,1531.0,0,0.0,4.0,1.0
28,1697.0,0,0.0,4.0,1.0
29,1115.0,0,0.0,4.0,1.0
30,1433.0,0,0.0,4.0,1.0
31,1747.0,0,0.0,4.0,1.0
32,1581.0,0,0.0,4.0,1.0
33,1540.0,0,0.0,4.0,1.0
34,1622.0,0,0.0,4.0,1.0
35,1653.0,0,0.0,4.0,1.0
36,1726.0,0,0.0,4.0,1.0
37,1729.0,0,0.0,4.0,1.0
38,1741.0,0,0.0,4.0,1.0
39,1779.0,0,0.0,4.0,1.0
40,1790.0,0,0.0,4.0,1.0
41,581.0,0,0.0,4.0,1.0
42,687.0,0,0.0,4.0,1.0
43,1714.0,0,0.0,4.0,1.0
44,1826.0,0,0.0,4.0,1.0
45,1642.0,0,0.0,4.0,1.0
46,1648.0,0,0.0,4.0,1.0
47,1632.0,0,0.0,4.0,1.0
48,1718.0,0,0.0,4.0,1.0
49,1850.0,0,0.0,4.0,1.0
50,1944.0,0,0.0,4.0,1.0
51,1111.0,0,0.0,4.0,1.0
52,1403.0,0,0.0,4.006666666666667,1.0
53,1671.0,0,0.0,4.0,1.0
54,1237.0,0,0.0,4.003333333333333,1.0
55,1813.0,0,0.0,4.01,1.0
56,1902.0,0,0.0,4.01,1.0
57,1834.0,0,0.0,4.01,1.0
58,1629.0,0,0.0,4.01,1.0
59,1618.0,0,0.0,4.01,1.0
60,1599.0,0,0.0,4.01,1.0
61,1624.0,0,0.0,4.01,1.0
62,1640.0,0,0.0,4.01,1.0
63,1728.0,0,0.0,4.01,1.0
64,2054.0,0,0.0,4.01,1.0
65,1755.0,0,0.0,4.01,1.0
66,1749.0,0,0.0,4.01,1.0
67,1650.0,0,0.0,4.01,1.0
68,1865.0,0,0.0,4.01,1.0
69,1816.0,0,0.0,4.01,1.0
70,1893.0,0,0.0,4.01,1.0
71,1157.0,0,0.0,4.01,1.0
72,1475.0,0,0.0,4.01,1.0
73,1519.0,0,0.0,4.01,1.0
74,1667.0,0,0.0,4.01,1.0
75,1751.0,0,0.0,4.01,1.0
76,1697.0,0,0.0,4.01,1.0
77,1795.0,0,0.0,4.01,1.0
78,1203.0,0,0.0,4.01,1.0
79,1235.0,0,0.0,4.01,1.0
80,1640.0,0,0.0,4.01,1.0
81,1638.0,0,0.0,4.01,1.0
82,1825.0,0,0.0,4.01,1.0
83,1807.0,0,0.0,4.01,1.0
84,1947.0,0,0.0,4.01,1.0
85,1182.0,0,0.0,4.01,1.0
86,1631.0,0,0.0,4.01,1.0
87,1531.0,0,0.0,4.01,1.0
88,1697.0,0,0.0,4.01,1.0
89,1115.0,0,0.0,4.01,1.0
90,1433.0,0,0.0,4.01,1.0
