  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
16:42:30      0.00      0.00
16:42:31      0.00      0.00
16:42:32      0.00      0.00
16:42:33      0.00      0.27
16:42:34      0.07      0.07
16:42:35      0.00      0.00
16:42:36      0.00      0.43
16:42:37      0.00      0.00
16:42:38      0.00      0.00
16:42:39      0.00      0.00
16:42:40      0.00      0.00
16:42:41      0.00      0.00
16:42:42      0.00      0.00
16:42:43      0.00      0.00
16:42:44      0.00      0.00
16:42:45      0.00      0.00
16:42:46      0.00      0.00
16:42:47      0.00      0.00
16:42:48      0.00      0.14
16:42:49      0.00      0.14
16:42:50      0.00      0.00
16:42:51      0.00      0.00
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
16:42:52      0.07      0.43
16:42:53      0.00      0.00
16:42:54      0.00      0.00
16:42:55      0.00      0.00
16:42:56      0.00      0.00
16:42:57      0.00      0.00
16:42:58      0.00      0.00
16:42:59      0.04      0.04
16:43:00      3.50     92.56
16:43:01      6.63    271.74
16:43:02      8.15    276.30
16:43:03     17.98    768.72
16:43:04      8.95    369.16
16:43:05      8.43    370.64
16:43:06     10.26    370.74
16:43:07      4.83    208.29
16:43:08     11.55    409.40
16:43:09      2.96    134.42
16:43:10      8.33    316.05
16:43:11      2.96    135.89
16:43:12     11.47    431.24
16:43:13      3.35    153.60
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
16:43:14      8.32    291.23
16:43:15      3.28    131.44
16:43:16      8.10    320.67
16:43:17     12.36    509.52
16:43:18     15.72    630.65
16:43:19      4.38    193.60
16:43:20     14.92    574.72
16:43:21      3.45    143.39
16:43:22      7.19    282.08
16:43:23      3.81    152.19
16:43:24      9.47    366.85
16:43:25      3.92    166.88
16:43:26      9.57    347.07
16:43:27      4.98    163.93
16:43:28     11.17    409.30
16:43:29      5.94    203.81
16:43:30     10.04    407.65
16:43:31      7.97    311.61
16:43:32     18.87    831.87
16:43:33      6.42    205.28
16:43:34      8.69    360.34
16:43:35      5.45    195.01
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
16:43:36     13.39    570.15
16:43:37      5.33    196.42
16:43:38      7.54    307.18
16:43:39      5.51    180.15
16:43:40      4.15    150.74
16:43:41      2.30     95.99
16:43:42      3.54    128.49
16:43:43      8.09    316.05
16:43:44      7.74    289.62
16:43:45     15.39    618.80
16:43:46      3.50    155.07
16:43:47     13.43    538.07
16:43:48      4.05    168.36
16:43:49     15.78    617.77
16:43:50      3.75    149.17
16:43:51     12.18    471.13
16:43:52      5.05    177.22
16:43:53      9.54    373.81
16:43:54      2.62     90.18
16:43:55     10.88    475.55
16:43:56      6.93    236.50
16:43:57      7.54    326.70
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
16:43:58      5.78    181.66
16:43:59      7.34    313.09
16:44:00      5.68    189.03
16:44:01      8.84    362.18
16:44:02     13.42    497.83
16:44:03     19.25    853.61
16:44:04     11.64    474.22
16:44:05     19.06    855.10
16:44:06      8.97    360.37
16:44:07      6.76    295.37
16:44:08      8.57    308.81
16:44:09      3.73    150.64
16:44:10     13.03    457.83
16:44:11      3.22    146.20
16:44:12      4.93    180.21
16:44:13      3.15    141.78
16:44:14     13.36    474.12
16:44:15      3.41    149.16
16:44:16      9.45    347.40
16:44:17      3.78    140.30
16:44:18      8.69    342.69
16:44:19      2.70    124.06
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
16:44:20     12.30    450.70
16:44:21      3.61    158.02
16:44:22      9.93    364.85
16:44:23      4.19    175.92
16:44:24     17.36    668.13
16:44:25      4.57    202.33
16:44:26     18.95    715.52
16:44:27      4.76    199.38
16:44:28      9.95    379.99
16:44:29      4.47    183.23
16:44:30     18.37    759.04
16:44:31      4.68    166.88
16:44:32      8.61    339.68
16:44:33      5.08    175.74
16:44:34      6.31    273.37
16:44:35      6.11    178.70
16:44:36      8.50    342.64
16:44:37      5.40    178.70
16:44:38      4.90    217.23
16:44:39      5.38    171.31
16:44:40      8.64    375.49
16:44:41      8.56    286.52
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
16:44:43      3.09    141.78
16:44:44      2.75     88.67
16:44:45      2.67    110.77
16:44:46      3.03    109.29
16:44:47     11.11    426.83
16:44:48      3.67    165.47
16:44:49     15.23    626.18
16:44:50      4.44    193.47
16:44:51      7.18    261.40
16:44:52      4.13    153.67
16:44:53      8.94    320.47
16:44:54      4.94    192.15
16:44:55      9.26    382.50
16:44:56      5.45    200.86
16:44:57      4.78    196.57
16:44:58      3.91    131.44
16:44:59     13.25    536.68
16:45:00      5.57    174.27
16:45:01      3.73    162.52
16:45:02      0.00      0.00
16:45:03      0.00      0.00
16:45:04      0.00      0.00
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
16:45:05      0.00      0.00
16:45:06      0.00      0.00
16:45:07      0.00      0.00
16:45:08      0.00      0.00
16:45:09      0.00      0.00
16:45:10      0.00      0.00
16:45:11      0.81      0.93
16:45:12      0.00      0.00
16:45:13      0.00      0.00
16:45:14      0.00      0.00
16:45:15      0.00      0.00
16:45:16      0.00      0.00
16:45:17      0.00      0.00
16:45:18      0.00      0.00
16:45:19      0.00      0.00
16:45:20      0.00      0.00
16:45:21      0.00      0.00
16:45:22      0.00      0.00
16:45:23      0.00      0.00
16:45:24      0.00      0.00
16:45:25      0.00      0.00
16:45:26      0.00      0.00
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
16:45:27      0.00      0.00
16:45:28      0.00      0.00
16:45:29      0.00      0.00
16:45:30      0.00      0.00
16:45:31      0.00      0.00
16:45:32      0.00      0.00
16:45:33      0.00      0.00
16:45:34      0.00      0.00
16:45:35      0.00      0.00
16:45:36      0.00      0.00
16:45:37      0.00      0.00
16:45:38      0.00      0.00
16:45:39      0.00      0.00
16:45:40      0.00      0.00
16:45:41      0.00      0.00
16:45:42      0.00      0.00
16:45:43      0.00      0.00
16:45:44      0.00      0.00
16:45:45      0.00      0.00
16:45:46      0.00      0.00
16:45:47      0.00      0.00
16:45:48      0.00      0.00
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
16:45:49      0.00      0.00
16:45:50      0.00      0.00
